Invoice Date,Month,Season,Product Name,Brand,Price,Discount Price,Quantity,Revenue
2024-01-19,January,Winter,Potato - Pack 2,Fresho,82.25,73.28,1,73.28
2024-04-07,April,Summer,Potato - Pack 2,Fresho,60.15,40.28,3,120.84
2024-10-07,October,Festive,Maggi Noodles,MAGGI,0.31,0.23,50,11.5
2024-06-18,June,Summer,Toothpaste - Colgate - Pack 3,Colgate,97.18,88.7,10,887
2024-11-17,November,Festive,Eggs - Farm Tray - Pack 2,Fresho,13.71,10.55,4,42.2
2024-07-23,July,Monsoon,Frozen Peas - Pack 2,Fresho,0.35,0.3,2000,600
2024-07-16,July,Monsoon,Paneer - Fresh,Milky Mist,412.39,317.87,0.25,79.4675
2024-10-24,October,Festive,Maggi Noodles - Pack 2,MAGGI,0.05,0.05,200,10
2024-09-11,September,Monsoon,Potato - Pack 3,Fresho,33.95,31.98,1,31.98
2024-12-06,December,Festive,Carrot - Pack 2,Fresho,149.25,118.16,5,590.8
2024-10-11,October,Festive,Tomato - Pack 2,Fresho,67.1,46.19,1,46.19
2024-02-10,February,Winter,Paneer - Fresh - Pack 2,Milky Mist,370.03,255.46,0.25,63.865
2024-04-02,April,Summer,Bread - Whole Wheat - Pack 3,Harvest,44.2,37.83,3,113.49
2024-06-13,June,Summer,Tender Coconut Water - Pack 3,Fresho,0.18,0.15,500,75
2024-11-11,November,Festive,Potato,Fresho,30.29,25.14,0.5,12.57
2024-06-05,June,Summer,Olive Oil - Extra Virgin - Pack 2,BORGES,6.42,4.88,1000,4880
2024-08-06,August,Monsoon,Olive Oil - Extra Virgin - Pack 3,BORGES,6.18,4.36,100,436
2024-11-26,November,Festive,Tea - Leaf - Pack 3,Red Label,0.63,0.43,2000,860
2024-10-06,October,Festive,Toothpaste - Colgate,Colgate,203.69,187.64,4,750.56
2024-06-29,June,Summer,Frozen Peas,Fresho,0.77,0.53,50,26.5
2024-08-10,August,Monsoon,Toothpaste - Colgate,Colgate,107.49,77.29,3,231.87
2024-10-08,October,Festive,Carrot - Pack 3,Fresho,115.86,104.68,0.5,52.34
2024-12-21,December,Festive,Tender Coconut Water,Fresho,0.61,0.49,200,98
2024-09-19,September,Monsoon,Rice - Sona Masoori - Pack 2,BB Royal,103.52,75.17,0.5,37.585
2024-03-22,March,Winter,Potato - Pack 2,Fresho,69.31,53.38,0.25,13.345
2024-03-14,March,Winter,Paneer - Fresh - Pack 3,Milky Mist,501.55,475.15,3,1425.45
2024-08-12,August,Monsoon,Detergent - Powder - Pack 3,Surf,117.04,104.75,3,314.25
2024-10-09,October,Festive,Toothpaste - Colgate,Colgate,425.8,326.73,2,653.46
2024-12-22,December,Festive,Tomato,Fresho,92.61,64.04,10,640.4
2024-11-19,November,Festive,Tea - Leaf - Pack 3,Red Label,0.33,0.26,500,130
2024-01-17,January,Winter,Toothpaste - Colgate - Pack 3,Colgate,60.59,51.61,12,619.32
2024-08-18,August,Monsoon,Carrot,Fresho,62.51,43.1,3,129.3
2024-07-09,July,Monsoon,Bread - Whole Wheat,Harvest,27.77,21.97,4,87.88
2024-02-09,February,Winter,Paneer - Fresh - Pack 3,Milky Mist,424.06,301.36,1,301.36
2024-09-28,September,Monsoon,Milk - Full Cream - Pack 2,Amul,0.09,0.06,500,30
2024-11-10,November,Festive,Detergent - Powder - Pack 2,Surf,163.07,109.56,0.25,27.39
2024-05-07,May,Summer,Tender Coconut Water - Pack 2,Fresho,0.21,0.17,750,127.5
2024-01-14,January,Winter,Rice - Sona Masoori - Pack 3,BB Royal,129.43,88.59,0.25,22.1475
2024-09-12,September,Monsoon,Tea - Leaf - Pack 3,Red Label,0.68,0.47,1500,705
2024-03-01,March,Winter,Potato,Fresho,32.78,23.94,3,71.82
2024-11-03,November,Festive,Tea - Leaf - Pack 2,Red Label,0.62,0.48,200,96
2024-04-19,April,Summer,Toothpaste - Colgate,Colgate,135.52,93.86,1,93.86
2024-05-26,May,Summer,Eggs - Farm Tray,Fresho,10.03,7.99,1,7.99
2024-09-08,September,Monsoon,Bread - Whole Wheat - Pack 3,Harvest,43.98,30.96,4,123.84
2024-10-18,October,Festive,Maggi Noodles - Pack 3,MAGGI,0.35,0.32,1000,320
2024-08-19,August,Monsoon,Onion - Pack 2,Fresho,74.21,59.33,0.5,29.665
2024-12-31,December,Festive,Maggi Noodles,MAGGI,0.21,0.19,2000,380
2024-02-14,February,Winter,Paneer - Fresh - Pack 2,Milky Mist,349.46,285.52,5,1427.6
2024-06-12,June,Summer,Carrot - Pack 2,Fresho,145.63,108.57,10,1085.7
2024-02-03,February,Winter,Detergent - Powder - Pack 2,Surf,286.11,223.35,0.5,111.675
2024-05-28,May,Summer,Detergent - Powder - Pack 2,Surf,376.28,280.53,0.25,70.1325
2024-03-21,March,Winter,Toothpaste - Colgate - Pack 3,Colgate,144.78,109.37,1,109.37
2024-03-30,March,Winter,Milk - Full Cream - Pack 2,Amul,0.06,0.04,5000,200
2024-09-17,September,Monsoon,Bread - Whole Wheat - Pack 2,Harvest,37.9,30.08,12,360.96
2024-10-26,October,Festive,Detergent - Powder - Pack 2,Surf,219.71,208.59,3,625.77
2024-05-01,May,Summer,Detergent - Powder,Surf,268.08,203.52,10,2035.2
2024-01-14,January,Winter,Milk - Full Cream,Amul,0.06,0.05,500,25
2024-12-13,December,Festive,Bread - Whole Wheat,Harvest,65.59,45.62,5,228.1
2024-12-10,December,Festive,Paneer - Fresh - Pack 2,Milky Mist,329.05,256.51,5,1282.55
2024-10-12,October,Festive,Paneer - Fresh,Milky Mist,540.04,398.16,0.25,99.54
2024-11-20,November,Festive,Frozen Peas - Pack 2,Fresho,1,0.67,50,33.5
2024-09-02,September,Monsoon,Paneer - Fresh - Pack 2,Milky Mist,337.33,316.48,2,632.96
2024-07-28,July,Monsoon,Frozen Peas,Fresho,0.52,0.38,250,95
2024-02-07,February,Winter,Detergent - Powder - Pack 2,Surf,377.9,279.44,3,838.32
2024-11-10,November,Festive,Maggi Noodles - Pack 3,MAGGI,0.61,0.43,500,215
2024-08-18,August,Monsoon,Olive Oil - Extra Virgin - Pack 3,BORGES,2.75,2.18,250,545
2024-09-21,September,Monsoon,Frozen Peas - Pack 3,Fresho,0.96,0.74,500,370
2024-12-10,December,Festive,Carrot - Pack 3,Fresho,106.2,92.35,5,461.75
2024-04-03,April,Summer,Eggs - Farm Tray - Pack 3,Fresho,15.55,10.73,5,53.65
2024-03-07,March,Winter,Bread - Whole Wheat - Pack 3,Harvest,54.65,43.42,5,217.1
2024-01-29,January,Winter,Tomato - Pack 2,Fresho,83.99,63.99,2,127.98
2024-09-22,September,Monsoon,Rice - Sona Masoori,BB Royal,175.78,137.84,0.25,34.46
2024-10-22,October,Festive,Detergent - Powder - Pack 2,Surf,246.39,170.88,2,341.76
2024-12-30,December,Festive,Carrot,Fresho,100.73,67.41,0.5,33.705
2024-12-06,December,Festive,Tender Coconut Water - Pack 3,Fresho,0.26,0.19,250,47.5
2024-02-10,February,Winter,Potato - Pack 3,Fresho,65.36,57.86,2,115.72
2024-12-21,December,Festive,Rice - Sona Masoori - Pack 2,BB Royal,102.67,89.73,0.25,22.4325
2024-05-20,May,Summer,Carrot - Pack 2,Fresho,110.33,79.17,3,237.51
2024-11-08,November,Festive,Potato - Pack 3,Fresho,71.44,58.01,0.5,29.005
2024-02-17,February,Winter,Maggi Noodles,MAGGI,0.03,0.02,1000,20
2024-03-27,March,Winter,Frozen Peas - Pack 2,Fresho,1.38,0.95,750,712.5
2024-03-19,March,Winter,Olive Oil - Extra Virgin,BORGES,1.13,1.07,350,374.5
2024-12-19,December,Festive,Frozen Peas - Pack 2,Fresho,0.38,0.26,250,65
2024-06-21,June,Summer,Milk - Full Cream - Pack 2,Amul,0.04,0.03,250,7.5
2024-01-22,January,Winter,Milk - Full Cream - Pack 2,Amul,0.03,0.03,250,7.5
2024-01-15,January,Winter,Milk - Full Cream,Amul,0.07,0.05,1500,75
2024-12-22,December,Festive,Bread - Whole Wheat,Harvest,83.17,55.52,10,555.2
2024-05-15,May,Summer,Bread - Whole Wheat,Harvest,39,34.37,12,412.44
2024-08-01,August,Monsoon,Tea - Leaf - Pack 2,Red Label,0.25,0.18,50,9
2024-01-16,January,Winter,Tomato - Pack 3,Fresho,58.04,51.54,0.5,25.77
2024-05-28,May,Summer,Bread - Whole Wheat - Pack 3,Harvest,46.85,35.01,1,35.01
2024-06-03,June,Summer,Olive Oil - Extra Virgin - Pack 2,BORGES,1.78,1.19,4000,4760
2024-07-26,July,Monsoon,Detergent - Powder,Surf,99.86,90.61,0.25,22.6525
2024-10-10,October,Festive,Tender Coconut Water - Pack 2,Fresho,0.13,0.11,1000,110
2024-03-21,March,Winter,Detergent - Powder - Pack 3,Surf,310.66,232.94,0.5,116.47
2024-09-04,September,Monsoon,Milk - Full Cream - Pack 2,Amul,0.07,0.05,1000,50
2024-06-23,June,Summer,Paneer - Fresh - Pack 3,Milky Mist,473.62,325.65,3,976.95
2024-06-09,June,Summer,Maggi Noodles - Pack 3,MAGGI,0.22,0.16,100,16
2024-06-12,June,Summer,Maggi Noodles - Pack 2,MAGGI,0.43,0.31,250,77.5
2024-06-25,June,Summer,Olive Oil - Extra Virgin,BORGES,3,2.43,350,850.5
2024-03-07,March,Winter,Carrot - Pack 2,Fresho,153.41,112.83,0.25,28.2075
2024-09-20,September,Monsoon,Maggi Noodles,MAGGI,0.14,0.13,750,97.5
2024-06-12,June,Summer,Potato - Pack 3,Fresho,31.57,28.95,0.25,7.2375
2024-10-16,October,Festive,Maggi Noodles - Pack 3,MAGGI,0.41,0.37,100,37
2024-11-01,November,Festive,Paneer - Fresh - Pack 2,Milky Mist,502.1,337.03,5,1685.15
2024-10-07,October,Festive,Paneer - Fresh - Pack 2,Milky Mist,259.51,229.94,2,459.88
2024-11-19,November,Festive,Onion - Pack 3,Fresho,69.91,51.61,10,516.1
2024-08-02,August,Monsoon,Tender Coconut Water,Fresho,0.13,0.09,200,18
2024-10-21,October,Festive,Onion - Pack 3,Fresho,78.65,69.8,0.25,17.45
2024-06-09,June,Summer,Bread - Whole Wheat - Pack 2,Harvest,68.14,58.2,12,698.4
2024-10-21,October,Festive,Frozen Peas - Pack 2,Fresho,0.48,0.4,100,40
2024-09-20,September,Monsoon,Tomato - Pack 2,Fresho,80.07,68.3,2,136.6
2024-06-06,June,Summer,Tea - Leaf,Red Label,0.66,0.49,1500,735
2024-02-16,February,Winter,Carrot - Pack 2,Fresho,103,95.69,0.25,23.9225
2024-09-15,September,Monsoon,Carrot - Pack 2,Fresho,143.07,112.9,0.25,28.225
2024-05-03,May,Summer,Toothpaste - Colgate,Colgate,117.44,96.19,12,1154.28
2024-11-15,November,Festive,Bread - Whole Wheat - Pack 2,Harvest,78.81,54.5,1,54.5
2024-11-06,November,Festive,Frozen Peas - Pack 2,Fresho,0.65,0.51,200,102
2024-08-28,August,Monsoon,Tea - Leaf - Pack 3,Red Label,0.09,0.08,1500,120
2024-10-02,October,Festive,Milk - Full Cream - Pack 3,Amul,0.07,0.05,100,5
2024-08-08,August,Monsoon,Frozen Peas - Pack 3,Fresho,1.32,0.98,250,245
2024-11-03,November,Festive,Bread - Whole Wheat,Harvest,55.87,40.92,24,982.08
2024-07-25,July,Monsoon,Tomato,Fresho,62.97,46.69,2,93.38
2024-11-21,November,Festive,Rice - Sona Masoori - Pack 3,BB Royal,172.14,132.29,2,264.58
2024-12-11,December,Festive,Rice - Sona Masoori,BB Royal,124.13,110.77,0.25,27.6925
2024-12-10,December,Festive,Maggi Noodles,MAGGI,0.48,0.44,1500,660
2024-11-19,November,Festive,Maggi Noodles - Pack 2,MAGGI,0.21,0.14,750,105
2024-05-23,May,Summer,Potato,Fresho,64.72,53.03,3,159.09
2024-03-01,March,Winter,Paneer - Fresh,Milky Mist,435.86,333.26,0.25,83.315
2024-10-13,October,Festive,Potato - Pack 3,Fresho,51.66,46.82,10,468.2
2024-11-13,November,Festive,Maggi Noodles - Pack 2,MAGGI,0.09,0.07,50,3.5
2024-07-06,July,Monsoon,Olive Oil - Extra Virgin - Pack 3,BORGES,1.09,1,2000,2000
2024-04-11,April,Summer,Toothpaste - Colgate - Pack 3,Colgate,411.67,315.93,5,1579.65
2024-07-24,July,Monsoon,Rice - Sona Masoori - Pack 3,BB Royal,175.4,144.54,5,722.7
2024-01-24,January,Winter,Potato,Fresho,84.75,70.66,10,706.6
2024-12-31,December,Festive,Rice - Sona Masoori,BB Royal,144.2,118.83,3,356.49
2024-11-30,November,Festive,Tender Coconut Water - Pack 2,Fresho,0.12,0.09,200,18
2024-03-17,March,Winter,Onion,Fresho,118.41,79.79,1,79.79
2024-09-20,September,Monsoon,Milk - Full Cream,Amul,0.07,0.05,2000,100
2024-12-18,December,Festive,Onion - Pack 3,Fresho,52.75,38.43,0.5,19.215
2024-11-20,November,Festive,Frozen Peas - Pack 2,Fresho,0.2,0.15,1000,150
2024-06-02,June,Summer,Eggs - Farm Tray,Fresho,23.16,18.88,2,37.76
2024-09-16,September,Monsoon,Tender Coconut Water - Pack 3,Fresho,0.41,0.37,350,129.5
2024-09-29,September,Monsoon,Tea - Leaf - Pack 3,Red Label,0.8,0.56,50,28
2024-06-02,June,Summer,Toothpaste - Colgate - Pack 2,Colgate,349.97,279.37,2,558.74
2024-01-09,January,Winter,Detergent - Powder,Surf,307.22,292.05,3,876.15
2024-12-26,December,Festive,Frozen Peas - Pack 3,Fresho,0.72,0.58,50,29
2024-11-23,November,Festive,Toothpaste - Colgate - Pack 2,Colgate,457.66,326.55,12,3918.6
2024-01-14,January,Winter,Carrot - Pack 3,Fresho,109.05,98.44,5,492.2
2024-05-15,May,Summer,Tea - Leaf,Red Label,0.4,0.33,750,247.5
2024-04-26,April,Summer,Toothpaste - Colgate - Pack 3,Colgate,185.17,124.81,4,499.24
2024-09-02,September,Monsoon,Milk - Full Cream,Amul,0.06,0.05,1500,75
2024-12-20,December,Festive,Toothpaste - Colgate - Pack 3,Colgate,181.17,132.66,24,3183.84
2024-07-13,July,Monsoon,Milk - Full Cream - Pack 3,Amul,0.06,0.05,2000,100
2024-12-27,December,Festive,Rice - Sona Masoori,BB Royal,169.2,115.53,5,577.65
2024-12-13,December,Festive,Tomato - Pack 3,Fresho,64.96,47.68,5,238.4
2024-02-26,February,Winter,Milk - Full Cream - Pack 3,Amul,0.07,0.05,200,10
2024-11-26,November,Festive,Toothpaste - Colgate - Pack 2,Colgate,361.64,249.02,10,2490.2
2024-10-20,October,Festive,Olive Oil - Extra Virgin - Pack 2,BORGES,5.59,4.51,500,2255
2024-04-14,April,Summer,Onion,Fresho,35.16,31.52,3,94.56
2024-08-29,August,Monsoon,Detergent - Powder,Surf,194.72,138.74,0.25,34.685
2024-02-01,February,Winter,Milk - Full Cream,Amul,0.06,0.04,5000,200
2024-09-22,September,Monsoon,Detergent - Powder - Pack 3,Surf,161.54,124.88,10,1248.8
2024-11-11,November,Festive,Bread - Whole Wheat - Pack 2,Harvest,34.72,24.1,12,289.2
2024-09-01,September,Monsoon,Frozen Peas - Pack 3,Fresho,1.2,0.87,2000,1740
2024-06-09,June,Summer,Olive Oil - Extra Virgin - Pack 3,BORGES,2.74,1.95,1000,1950
2024-08-23,August,Monsoon,Detergent - Powder - Pack 3,Surf,347.52,283.83,1,283.83
2024-06-24,June,Summer,Detergent - Powder - Pack 2,Surf,96.36,82.85,1,82.85
2024-05-15,May,Summer,Rice - Sona Masoori,BB Royal,191.72,131.3,10,1313
2024-04-08,April,Summer,Frozen Peas,Fresho,1,0.77,750,577.5
2024-05-22,May,Summer,Toothpaste - Colgate - Pack 3,Colgate,416.41,280.61,4,1122.44
2024-04-25,April,Summer,Milk - Full Cream,Amul,0.05,0.04,1500,60
2024-06-01,June,Summer,Carrot - Pack 3,Fresho,87.22,70.18,0.5,35.09
2024-04-16,April,Summer,Olive Oil - Extra Virgin - Pack 3,BORGES,2,1.52,500,760
2024-09-07,September,Monsoon,Paneer - Fresh - Pack 2,Milky Mist,500.29,339.9,0.25,84.975
2024-11-14,November,Festive,Onion - Pack 3,Fresho,92.01,65.81,0.5,32.905
2024-05-20,May,Summer,Rice - Sona Masoori - Pack 2,BB Royal,122.87,93.96,3,281.88
2024-12-13,December,Festive,Bread - Whole Wheat - Pack 2,Harvest,61.27,51.36,2,102.72
2024-07-13,July,Monsoon,Eggs - Farm Tray - Pack 3,Fresho,17.31,12.33,3,36.99
2024-07-21,July,Monsoon,Carrot - Pack 2,Fresho,54.44,47.36,2,94.72
2024-03-15,March,Winter,Eggs - Farm Tray - Pack 2,Fresho,10.99,9.3,6,55.8
2024-11-06,November,Festive,Rice - Sona Masoori,BB Royal,212.57,149.63,3,448.89
2024-02-10,February,Winter,Rice - Sona Masoori - Pack 3,BB Royal,142.04,113.58,0.25,28.395
2024-11-26,November,Festive,Rice - Sona Masoori - Pack 3,BB Royal,197.44,145.48,3,436.44
2024-09-02,September,Monsoon,Milk - Full Cream - Pack 3,Amul,0.09,0.06,1000,60
2024-12-08,December,Festive,Tea - Leaf,Red Label,0.41,0.35,500,175
2024-12-11,December,Festive,Olive Oil - Extra Virgin,BORGES,3.91,3.06,750,2295
2024-03-11,March,Winter,Maggi Noodles - Pack 2,MAGGI,0.21,0.16,50,8
2024-12-15,December,Festive,Milk - Full Cream - Pack 3,Amul,0.03,0.03,2000,60
2024-10-07,October,Festive,Olive Oil - Extra Virgin - Pack 2,BORGES,1.11,1.03,2000,2060
2024-09-28,September,Monsoon,Detergent - Powder,Surf,335.4,270.29,5,1351.45
2024-10-30,October,Festive,Tomato,Fresho,79.68,54.1,0.5,27.05
2024-11-22,November,Festive,Frozen Peas - Pack 3,Fresho,0.1,0.07,200,14
2024-11-30,November,Festive,Onion - Pack 3,Fresho,46.81,33.26,0.25,8.315
2024-10-18,October,Festive,Olive Oil - Extra Virgin - Pack 3,BORGES,3.8,3.3,200,660
2024-12-10,December,Festive,Paneer - Fresh - Pack 2,Milky Mist,413.14,335.34,2,670.68
2024-03-21,March,Winter,Milk - Full Cream - Pack 3,Amul,0.04,0.04,100,4
2024-08-31,August,Monsoon,Onion,Fresho,98.99,75.36,5,376.8
2024-04-12,April,Summer,Detergent - Powder - Pack 3,Surf,202.53,158.69,10,1586.9
2024-05-27,May,Summer,Milk - Full Cream,Amul,0.04,0.04,5000,200
2024-12-22,December,Festive,Tender Coconut Water - Pack 2,Fresho,0.31,0.23,1000,230
2024-10-12,October,Festive,Maggi Noodles,MAGGI,0.31,0.28,200,56
2024-04-28,April,Summer,Tea - Leaf - Pack 2,Red Label,0.28,0.21,2000,420
2024-01-20,January,Winter,Milk - Full Cream - Pack 2,Amul,0.09,0.06,5000,300
2024-03-30,March,Winter,Frozen Peas - Pack 2,Fresho,1.01,0.96,750,720
2024-03-31,March,Winter,Olive Oil - Extra Virgin - Pack 3,BORGES,1.57,1.49,250,372.5
2024-01-19,January,Winter,Toothpaste - Colgate - Pack 3,Colgate,304.85,206.52,10,2065.2
2024-07-22,July,Monsoon,Milk - Full Cream - Pack 2,Amul,0.07,0.05,350,17.5
2024-04-05,April,Summer,Bread - Whole Wheat - Pack 2,Harvest,48.95,36.51,4,146.04
2024-05-28,May,Summer,Maggi Noodles - Pack 3,MAGGI,0.11,0.1,200,20
2024-01-05,January,Winter,Paneer - Fresh - Pack 2,Milky Mist,358.68,254.41,0.5,127.205
2024-12-17,December,Festive,Potato,Fresho,63.55,58.68,10,586.8
2024-11-12,November,Festive,Detergent - Powder,Surf,139.85,101.6,0.25,25.4
2024-12-22,December,Festive,Maggi Noodles - Pack 2,MAGGI,0.26,0.19,750,142.5
2024-09-09,September,Monsoon,Paneer - Fresh,Milky Mist,561.43,385.85,0.25,96.4625
2024-03-09,March,Winter,Milk - Full Cream - Pack 3,Amul,0.05,0.04,1500,60
2024-08-27,August,Monsoon,Milk - Full Cream - Pack 2,Amul,0.04,0.03,4000,120
2024-10-15,October,Festive,Milk - Full Cream - Pack 3,Amul,0.05,0.04,1000,40
2024-11-28,November,Festive,Eggs - Farm Tray - Pack 3,Fresho,10.22,8.43,10,84.3
2024-04-05,April,Summer,Detergent - Powder - Pack 2,Surf,343.67,273.13,5,1365.65
2024-11-13,November,Festive,Bread - Whole Wheat - Pack 2,Harvest,43.39,39.48,5,197.4
2024-04-08,April,Summer,Rice - Sona Masoori - Pack 3,BB Royal,190.47,132.6,3,397.8
2024-12-21,December,Festive,Tomato - Pack 3,Fresho,53.39,36.85,3,110.55
2024-08-06,August,Monsoon,Potato - Pack 2,Fresho,105.32,73.53,5,367.65
2024-02-14,February,Winter,Rice - Sona Masoori - Pack 2,BB Royal,142.77,124.61,0.25,31.1525
2024-02-18,February,Winter,Onion - Pack 3,Fresho,93.88,62.61,3,187.83
2024-10-18,October,Festive,Maggi Noodles,MAGGI,0.23,0.2,200,40
2024-05-07,May,Summer,Toothpaste - Colgate - Pack 2,Colgate,103.95,81.5,5,407.5
2024-11-19,November,Festive,Potato - Pack 3,Fresho,67.59,50.13,2,100.26
2024-11-04,November,Festive,Rice - Sona Masoori,BB Royal,137.24,123.29,5,616.45
2024-06-03,June,Summer,Carrot - Pack 2,Fresho,125.33,98.87,0.5,49.435
2024-01-06,January,Winter,Bread - Whole Wheat - Pack 2,Harvest,36.5,28.75,1,28.75
2024-11-16,November,Festive,Potato - Pack 2,Fresho,45.98,34.04,1,34.04
2024-02-01,February,Winter,Olive Oil - Extra Virgin,BORGES,3.73,2.55,750,1912.5
2024-08-26,August,Monsoon,Onion - Pack 3,Fresho,53.77,36.19,0.25,9.0475
2024-11-21,November,Festive,Rice - Sona Masoori - Pack 2,BB Royal,154.05,131.84,10,1318.4
2024-06-08,June,Summer,Olive Oil - Extra Virgin - Pack 2,BORGES,2.29,1.7,4000,6800
2024-05-31,May,Summer,Bread - Whole Wheat - Pack 3,Harvest,49.59,40.67,2,81.34
2024-10-29,October,Festive,Eggs - Farm Tray - Pack 3,Fresho,14.87,10.49,24,251.76
2024-10-18,October,Festive,Bread - Whole Wheat - Pack 2,Harvest,74.94,51.71,12,620.52
2024-08-20,August,Monsoon,Onion,Fresho,65.05,56.39,3,169.17
2024-07-10,July,Monsoon,Maggi Noodles - Pack 3,MAGGI,0.14,0.12,500,60
2024-08-29,August,Monsoon,Bread - Whole Wheat - Pack 3,Harvest,57.43,46.44,2,92.88
2024-04-21,April,Summer,Bread - Whole Wheat,Harvest,49.68,39.26,2,78.52
2024-02-11,February,Winter,Eggs - Farm Tray - Pack 2,Fresho,17.73,14.36,3,43.08
2024-09-27,September,Monsoon,Paneer - Fresh,Milky Mist,417.63,372.05,0.25,93.0125
2024-02-09,February,Winter,Rice - Sona Masoori - Pack 2,BB Royal,154.01,137.99,3,413.97
2024-02-27,February,Winter,Carrot - Pack 2,Fresho,100.24,81.33,1,81.33
2024-12-10,December,Festive,Toothpaste - Colgate,Colgate,430.28,312.34,1,312.34
2024-04-13,April,Summer,Milk - Full Cream,Amul,0.05,0.04,200,8
2024-03-17,March,Winter,Maggi Noodles,MAGGI,0.14,0.1,1500,150
2024-12-06,December,Festive,Toothpaste - Colgate - Pack 3,Colgate,406.36,286.33,3,858.99
2024-04-15,April,Summer,Carrot - Pack 3,Fresho,72.57,53.42,3,160.26
2024-09-07,September,Monsoon,Tender Coconut Water - Pack 3,Fresho,0.37,0.32,4000,1280
2024-12-05,December,Festive,Tea - Leaf,Red Label,0.13,0.11,200,22
2024-01-29,January,Winter,Maggi Noodles - Pack 3,MAGGI,0.56,0.42,1000,420
2024-09-19,September,Monsoon,Carrot - Pack 3,Fresho,142.09,110.22,2,220.44
2024-01-30,January,Winter,Tomato - Pack 2,Fresho,79.59,54.67,0.25,13.6675
2024-06-06,June,Summer,Olive Oil - Extra Virgin - Pack 2,BORGES,6.42,4.59,100,459
2024-07-21,July,Monsoon,Rice - Sona Masoori - Pack 3,BB Royal,86.36,80.74,2,161.48
2024-10-01,October,Festive,Olive Oil - Extra Virgin,BORGES,2.71,1.92,1000,1920
2024-02-07,February,Winter,Tea - Leaf,Red Label,0.51,0.37,750,277.5
2024-11-14,November,Festive,Detergent - Powder - Pack 3,Surf,202.17,173.61,3,520.83
2024-01-31,January,Winter,Eggs - Farm Tray - Pack 3,Fresho,12.32,8.53,2,17.06
2024-02-05,February,Winter,Tea - Leaf - Pack 3,Red Label,0.21,0.15,500,75
2024-08-29,August,Monsoon,Onion,Fresho,74.58,61.19,3,183.57
2024-11-22,November,Festive,Eggs - Farm Tray - Pack 2,Fresho,11.57,10.54,6,63.24
2024-10-18,October,Festive,Tender Coconut Water,Fresho,0.36,0.31,5000,1550
2024-08-03,August,Monsoon,Olive Oil - Extra Virgin - Pack 2,BORGES,4.32,3.26,1000,3260
2024-11-18,November,Festive,Detergent - Powder - Pack 2,Surf,239.74,170.91,2,341.82
2024-07-12,July,Monsoon,Maggi Noodles,MAGGI,0.26,0.2,200,40
2024-12-27,December,Festive,Paneer - Fresh - Pack 2,Milky Mist,531.32,432.26,1,432.26
2024-03-09,March,Winter,Tomato - Pack 3,Fresho,73.37,58.65,10,586.5
2024-06-27,June,Summer,Detergent - Powder - Pack 3,Surf,156.46,127.18,0.5,63.59
2024-12-08,December,Festive,Bread - Whole Wheat,Harvest,60.51,44.56,24,1069.44
2024-10-17,October,Festive,Potato,Fresho,81.95,77.87,0.5,38.935
2024-04-24,April,Summer,Potato - Pack 3,Fresho,63.76,48.3,10,483
2024-01-12,January,Winter,Potato - Pack 3,Fresho,36.18,33.31,0.25,8.3275
2024-08-25,August,Monsoon,Onion - Pack 3,Fresho,105.61,85.84,5,429.2
2024-08-05,August,Monsoon,Rice - Sona Masoori - Pack 3,BB Royal,156,118.28,3,354.84
2024-04-27,April,Summer,Carrot - Pack 3,Fresho,85.69,75.12,5,375.6
2024-11-14,November,Festive,Detergent - Powder,Surf,172.32,122.84,10,1228.4
2024-10-25,October,Festive,Maggi Noodles - Pack 3,MAGGI,0.48,0.36,2000,720
2024-02-27,February,Winter,Detergent - Powder - Pack 2,Surf,139.29,132.64,0.25,33.16
2024-12-24,December,Festive,Carrot - Pack 2,Fresho,123.76,102.37,0.25,25.5925
2024-01-09,January,Winter,Tea - Leaf - Pack 2,Red Label,0.47,0.37,1000,370
2024-10-09,October,Festive,Frozen Peas - Pack 3,Fresho,1.19,0.92,100,92
2024-10-05,October,Festive,Frozen Peas - Pack 2,Fresho,1.11,0.92,2000,1840
2024-01-25,January,Winter,Paneer - Fresh - Pack 3,Milky Mist,414.41,336.43,0.5,168.215
2024-10-06,October,Festive,Onion,Fresho,59.76,54.43,1,54.43
2024-04-29,April,Summer,Potato - Pack 2,Fresho,44.55,40.4,3,121.2
2024-01-29,January,Winter,Maggi Noodles - Pack 3,MAGGI,0.62,0.44,500,220
2024-11-07,November,Festive,Toothpaste - Colgate,Colgate,378.9,255.2,5,1276
2024-12-13,December,Festive,Toothpaste - Colgate,Colgate,387.62,278.69,12,3344.28
2024-12-16,December,Festive,Tender Coconut Water - Pack 3,Fresho,0.34,0.26,5000,1300
2024-06-13,June,Summer,Onion - Pack 2,Fresho,55.57,45.47,2,90.94
2024-10-19,October,Festive,Eggs - Farm Tray - Pack 3,Fresho,20.76,16.8,4,67.2
2024-09-23,September,Monsoon,Bread - Whole Wheat - Pack 2,Harvest,56.57,41.43,24,994.32
2024-11-08,November,Festive,Paneer - Fresh - Pack 2,Milky Mist,308.39,227.9,0.5,113.95
2024-12-11,December,Festive,Bread - Whole Wheat,Harvest,47.68,42.18,2,84.36
2024-03-30,March,Winter,Milk - Full Cream - Pack 3,Amul,0.05,0.04,750,30
2024-08-06,August,Monsoon,Carrot - Pack 3,Fresho,91.1,79.92,5,399.6
2024-01-25,January,Winter,Frozen Peas - Pack 3,Fresho,1.01,0.88,250,220
